,roomid,dust,temperature,humidity,co2
1109,313,39.0,23.209827,65.30001800000001,625.0
1110,313,38.0,23.231277,65.727264,605.0
1111,313,37.0,23.220551999999998,65.330536,614.0
1112,313,35.0,23.252727,65.055878,622.0
1113,313,37.0,23.274176999999998,64.956696,642.0
1114,313,39.0,23.231277,65.95614599999999,605.0
1115,313,35.0,23.274176999999998,64.89565999999999,634.0
1116,314,37.0,22.587771,66.688568,617.0
1117,314,37.0,22.577046,66.650421,612.0
1118,314,38.0,22.577046,66.909821,601.0
1119,314,36.0,22.587771,67.001373,601.0
1120,314,36.0,22.587771,66.673309,618.0
1121,314,37.0,22.577046,66.78775,602.0
1122,314,37.0,22.609220999999998,66.99374399999999,616.0
1123,314,35.0,22.577046,66.99374399999999,612.0
1124,314,35.0,22.577046,66.696198,605.0
1125,314,35.0,22.587771,66.940338,615.0
1126,314,37.0,22.577046,66.871674,609.0
1127,314,35.0,22.598496,66.925079,608.0
1128,314,37.0,22.566321,66.803009,603.0
1129,314,36.0,22.577046,66.940338,607.0
1130,314,36.0,22.609220999999998,66.757233,607.0
1131,314,37.0,22.598496,67.001373,601.0
1132,314,37.0,22.577046,66.955597,608.0
1133,314,38.0,22.577046,66.757233,608.0
1134,314,38.0,22.598496,67.024261,613.0
1135,314,36.0,22.598496,66.741974,606.0
1136,314,37.0,22.609220999999998,66.99374399999999,600.0
1137,314,38.0,22.609220999999998,66.986115,604.0
1138,314,37.0,22.577046,66.871674,600.0
1139,314,36.0,22.619946,66.871674,607.0
1140,314,36.0,22.577046,66.719086,604.0
1141,314,37.0,22.587771,66.955597,600.0
1142,314,35.0,22.598496,66.86404399999999,610.0
1143,314,36.0,22.577046,66.84878499999999,613.0
1144,314,37.0,22.598496,66.810638,609.0
1145,314,39.0,22.609220999999998,67.001373,600.0
1146,314,35.0,22.587771,66.925079,600.0
1147,315,39.0,23.660281,64.239532,616.0
1148,315,37.0,23.671006,64.277679,630.0
1149,315,39.0,23.671006,64.277679,619.0
1150,315,38.0,23.660281,64.353973,634.0
1151,315,36.0,23.660281,64.27005,606.0
1152,315,37.0,23.660281,64.460785,635.0
1153,315,36.0,23.681731,64.27005,612.0
1154,315,38.0,23.660281,64.178497,621.0
1155,315,39.0,23.681731,64.102203,627.0
1156,315,39.0,23.660281,64.292938,607.0
1157,315,38.0,23.671006,64.00302099999999,616.0
1158,315,39.0,23.660281,64.056427,603.0
1159,315,38.0,23.671006,64.13272099999999,607.0
1160,315,38.0,23.638831,63.95724499999999,619.0
1161,315,36.0,23.671006,64.27005,638.0
1162,315,38.0,23.660281,64.300568,615.0
1163,315,39.0,23.671006,64.247162,602.0
1164,315,38.0,23.671006,64.20901500000001,613.0
1165,315,36.0,23.681731,64.254791,618.0
1166,315,38.0,23.671006,64.353973,634.0
1167,315,40.0,23.660281,64.086945,621.0
1168,315,39.0,23.649556,64.262421,606.0
1169,315,37.0,23.671006,64.277679,639.0
1170,315,39.0,23.638831,64.13272099999999,618.0
1171,315,39.0,23.649556,64.010651,613.0
1172,315,40.0,23.649556,63.995392,615.0
1173,315,39.0,23.660281,64.163239,613.0
1174,315,39.0,23.649556,64.056427,607.0
1175,315,37.0,23.671006,64.239532,631.0
1176,315,38.0,23.681731,64.353973,655.0
1177,315,39.0,23.671006,63.964874,613.0
1178,316,55.0,21.483086,68.588287,686.0
1179,316,69.0,20.582178,70.74740600000001,614.0
1180,316,68.0,21.440185999999997,68.79428100000001,614.0
1181,316,56.0,21.322209,69.000275,676.0
1182,316,65.0,21.107708,67.993195,600.0
1183,316,68.0,20.646528,70.831329,606.0
1184,316,60.0,21.043357,69.69455,667.0
1185,316,69.0,20.625078,70.88473499999999,601.0
1186,316,59.0,21.150608,69.427521,669.0
1187,316,53.0,21.38656,68.786652,676.0
1188,316,71.0,20.667979000000003,70.465118,615.0
1189,316,66.0,20.968281,68.985016,600.0
1190,316,67.0,21.021907000000002,68.55776999999999,600.0
1191,316,70.0,20.603628,70.915253,612.0
1192,316,68.0,20.657253,70.793182,613.0
1193,316,63.0,20.753779,70.51089499999999,614.0
1194,316,65.0,21.34366,67.894012,600.0
1195,316,70.0,20.646528,70.739777,622.0
1196,316,64.0,20.903931,70.037872,649.0
1197,316,69.0,20.710879000000002,70.266754,623.0
1198,316,66.0,21.182782999999997,67.703278,600.0
1199,316,65.0,21.204233,67.817719,600.0
1200,316,67.0,20.646528,70.640594,621.0
1201,316,66.0,20.603628,70.991547,616.0
1202,316,56.0,21.236409,69.22152700000001,679.0
1203,316,68.0,20.646528,70.808441,624.0
1204,316,71.0,20.625078,70.533783,608.0
1205,316,57.0,21.525986,68.10000600000001,638.0
1206,316,68.0,20.625078,70.892365,609.0
1207,316,69.0,20.571452999999998,71.07547,612.0
1208,316,70.0,20.625078,70.602448,605.0
1209,317,56.0,22.544871,63.079865000000005,612.0
1210,317,55.0,22.534146,63.179047,616.0
1211,317,55.0,22.534146,63.133269999999996,612.0
1212,317,52.0,22.587771,62.934906000000005,612.0
1213,317,59.0,22.52342,62.896758999999996,618.0
1214,317,52.0,22.534146,63.240081999999994,600.0
1215,317,53.0,22.555595999999998,63.21719399999999,611.0
1216,317,54.0,22.587771,62.797577000000004,616.0
1217,317,56.0,22.544871,63.072235,615.0
1218,317,57.0,22.534146,63.179047,605.0
1219,317,52.0,22.534146,63.240081999999994,619.0
1220,317,53.0,22.609220999999998,62.690765,610.0
1221,317,53.0,22.544871,63.240081999999994,609.0
1222,317,51.0,22.534146,63.232452,607.0
1223,317,61.0,22.544871,63.041718,607.0
1224,317,58.0,22.544871,62.973053,608.0
1225,317,52.0,22.598496,63.224823,610.0
1226,317,52.0,22.544871,63.240081999999994,614.0
1227,317,56.0,22.52342,62.919647,614.0
1228,317,55.0,22.566321,63.224823,609.0
1229,317,57.0,22.534146,62.919647,623.0
1230,317,53.0,22.534146,63.224823,614.0
1231,317,54.0,22.587771,63.079865000000005,608.0
1232,317,58.0,22.52342,63.0112,608.0
1233,317,60.0,22.534146,62.858612,618.0
1234,317,56.0,22.534146,62.927277000000004,620.0
1235,317,50.0,22.555595999999998,63.232452,609.0
1236,317,58.0,22.52342,62.835724,621.0
1237,317,55.0,22.577046,63.32400500000001,613.0
1238,317,57.0,22.534146,62.934906000000005,624.0
1239,317,56.0,22.544871,63.08749399999999,622.0
1240,318,43.0,22.920249,66.03244000000001,617.0
1241,318,44.0,22.930974,66.27658100000001,622.0
1242,318,44.0,22.920249,66.223175,625.0
1243,318,40.0,22.973875,66.421539,635.0
1244,318,43.0,22.909523999999998,66.009552,616.0
1245,318,41.0,22.973875,66.070587,631.0
1246,318,41.0,22.920249,66.29946899999999,635.0
1247,318,41.0,22.995325,65.57467700000001,606.0
1248,318,39.0,22.9846,65.90274000000001,630.0
1249,318,43.0,22.920249,65.994293,632.0
1250,318,43.0,22.930974,66.185028,622.0
1251,318,42.0,22.952424,66.337616,637.0
1252,318,41.0,22.973875,66.29946899999999,636.0
1253,318,42.0,22.920249,66.307098,638.0
1254,318,41.0,22.909523999999998,66.314728,622.0
1255,318,43.0,22.930974,66.177399,602.0
1256,318,42.0,22.920249,66.28421,644.0
1257,318,40.0,22.963148999999998,66.360504,645.0
1258,318,41.0,22.920249,66.047699,623.0
1259,318,46.0,22.941699,66.253693,612.0
1260,318,42.0,22.920249,66.29946899999999,632.0
1261,318,41.0,22.909523999999998,66.329987,627.0
1262,318,41.0,22.952424,66.314728,638.0
1263,318,41.0,22.973875,66.29946899999999,636.0
1264,318,42.0,22.920249,66.08584599999999,631.0
1265,318,44.0,22.909523999999998,66.070587,627.0
1266,318,39.0,23.00605,65.643341,604.0
1267,318,41.0,22.920249,66.314728,641.0
1268,318,40.0,22.909523999999998,66.314728,628.0
1269,318,42.0,22.920249,66.29946899999999,628.0
1270,318,42.0,22.952424,66.314728,636.0
1271,318,42.0,22.920249,66.093475,628.0
1272,319,64.0,22.845173000000003,67.55069,617.0
1273,319,62.0,22.877349,67.51254300000001,637.0
1274,319,67.0,22.834448000000002,67.466766,633.0
1275,319,66.0,22.834448000000002,67.344696,640.0
1276,319,70.0,22.823723,67.329437,633.0
1277,319,61.0,22.963148999999998,67.42099,647.0
1278,319,62.0,22.973875,67.489655,630.0
1279,319,69.0,22.812998,67.359955,602.0
1280,319,61.0,22.9846,67.375214,643.0
1281,319,64.0,22.973875,66.97085600000001,626.0
1282,319,64.0,22.877349,67.52780200000001,637.0
1283,319,70.0,22.823723,67.276031,624.0
1284,319,62.0,22.941699,67.45150799999999,639.0
1285,319,69.0,22.9846,66.818268,625.0
1286,319,57.0,22.909523999999998,67.489655,640.0
1287,319,67.0,22.845173000000003,67.52780200000001,622.0
1288,319,62.0,22.963148999999998,67.42099,653.0
1289,319,67.0,22.834448000000002,67.314178,639.0
1290,319,71.0,22.845173000000003,67.38284300000001,636.0
1291,319,70.0,22.812998,67.32180799999999,625.0
1292,319,62.0,22.9846,67.359955,635.0
1293,319,65.0,22.834448000000002,67.596466,627.0
1294,319,66.0,22.9846,66.764862,615.0
1295,319,68.0,22.834448000000002,67.337067,637.0
1296,319,65.0,22.845173000000003,67.535431,614.0
1297,319,62.0,22.9846,67.207367,627.0
1298,319,70.0,22.812998,67.29129,617.0
1299,319,62.0,22.855898,67.497284,636.0
1300,319,60.0,22.930974,67.45150799999999,657.0
1301,319,58.0,22.877349,67.504913,628.0
1302,319,64.0,22.834448000000002,67.504913,630.0
1303,320,71.0,22.201667,69.000275,622.0
1304,320,73.0,22.223118,68.901093,623.0
1305,320,67.0,22.212393,69.084198,627.0
1306,320,63.0,22.394719,68.473846,662.0
1307,320,66.0,22.351819,68.611176,646.0
1308,320,68.0,22.244568,68.878204,622.0
1309,320,71.0,22.201667,68.862946,615.0
1310,320,69.0,22.52342,67.848236,622.0
1311,320,71.0,22.201667,69.107086,612.0
1312,320,69.0,22.233843,68.985016,622.0
1313,320,70.0,22.126592000000002,69.33596800000001,612.0
1314,320,73.0,22.190942,68.79428100000001,623.0
1315,320,75.0,22.180217000000003,68.840057,612.0
1316,320,72.0,22.233843,68.733246,627.0
1317,320,67.0,22.491245000000003,67.58120699999999,604.0
1318,320,57.0,22.566321,68.092377,681.0
1319,320,76.0,22.201667,68.771393,620.0
1320,320,73.0,22.148042,69.19100999999999,621.0
1321,320,58.0,22.598496,68.03897099999999,663.0
1322,320,69.0,22.233843,68.985016,614.0
1323,320,65.0,22.276743,68.855316,628.0
1324,320,66.0,22.448345,67.58120699999999,610.0
1325,320,67.0,22.115867,69.366486,606.0
1326,320,68.0,22.437620000000003,67.764313,600.0
1327,320,62.0,22.50197,68.24496500000001,666.0
1328,320,74.0,22.180217000000003,68.93160999999999,615.0
1329,320,60.0,22.448345,68.367035,678.0
1330,320,65.0,22.566321,68.130524,626.0
1331,320,69.0,22.469795,67.85586500000001,615.0
1332,320,58.0,22.534146,68.168671,673.0
1333,320,64.0,22.587771,68.313629,644.0
1334,321,45.0,23.874782999999997,60.165436,619.0
1335,321,42.0,23.917683,60.043365,622.0
1336,321,42.0,23.885507999999998,60.218842,608.0
1337,321,44.0,23.874782999999997,60.020477,617.0
1338,321,41.0,23.917683,60.295134999999995,620.0
1339,321,46.0,23.864058,59.867889,619.0
1340,321,42.0,23.885507999999998,60.226471,615.0
1341,321,44.0,23.896233,60.218842,612.0
1342,321,43.0,23.917683,60.310393999999995,616.0
1343,321,42.0,23.885507999999998,60.226471,614.0
1344,321,47.0,23.874782999999997,59.951813,610.0
1345,321,46.0,23.864058,60.089142,622.0
1346,321,43.0,23.896233,60.226471,614.0
1347,321,45.0,23.885507999999998,59.92129499999999,622.0
1348,321,44.0,23.874782999999997,60.203582999999995,613.0
1349,321,44.0,23.874782999999997,59.829742,621.0
1350,321,44.0,23.885507999999998,60.226471,604.0
1351,321,48.0,23.885507999999998,59.92129499999999,618.0
1352,321,47.0,23.874782999999997,59.814484,618.0
1353,321,47.0,23.885507999999998,59.883148,626.0
1354,321,43.0,23.874782999999997,60.165436,617.0
1355,321,41.0,23.917683,59.852631,614.0
1356,321,44.0,23.864058,60.127289000000005,618.0
1357,321,43.0,23.885507999999998,60.15780600000001,632.0
1358,321,48.0,23.885507999999998,60.05099499999999,620.0
1359,321,44.0,23.885507999999998,60.173065,618.0
1360,321,41.0,23.906958,60.203582999999995,623.0
1361,321,41.0,23.906958,59.928925,618.0
1362,321,40.0,23.906958,60.211211999999996,622.0
1363,321,46.0,23.864058,59.974701,614.0
1364,321,47.0,23.885507999999998,60.066254,624.0
1365,322,36.0,23.842607,64.811737,603.0
1366,322,39.0,23.842607,65.75778199999999,600.0
1367,322,37.0,23.864058,65.002472,609.0
1368,322,37.0,23.874782999999997,64.407379,617.0
1369,322,37.0,23.842607,65.162689,600.0
1370,322,36.0,23.842607,65.57467700000001,600.0
1371,322,36.0,23.885507999999998,64.552338,617.0
1372,322,38.0,23.864058,64.369232,602.0
1373,322,38.0,23.853333,64.262421,614.0
1374,322,40.0,23.831882,65.483124,600.0
1375,322,38.0,23.864058,64.292938,613.0
1376,322,38.0,23.853333,64.47604399999999,604.0
1377,322,38.0,23.853333,64.292938,604.0
1378,322,38.0,23.864058,64.430267,600.0
1379,322,37.0,23.864058,64.453156,605.0
1380,322,40.0,23.842607,65.826447,600.0
1381,322,37.0,23.853333,65.925629,600.0
1382,322,37.0,23.842607,65.31527700000001,600.0
1383,322,38.0,23.874782999999997,64.315826,612.0
1384,322,38.0,23.853333,64.262421,609.0
1385,322,37.0,23.896233,64.300568,615.0
1386,322,38.0,23.842607,65.208466,606.0
1387,322,38.0,23.874782999999997,64.170868,616.0
1388,322,39.0,23.864058,64.376862,614.0
1389,322,38.0,23.842607,64.468414,600.0
1390,322,36.0,23.842607,64.697296,610.0
1391,322,38.0,23.885507999999998,64.285309,616.0
1392,322,37.0,23.874782999999997,64.21664399999999,615.0
1393,322,38.0,23.853333,64.575226,600.0
1394,322,37.0,23.864058,64.163239,617.0
1395,322,38.0,23.842607,64.231903,604.0
1396,323,54.0,23.456504000000002,65.223724,600.0
1397,323,55.0,23.477954,65.071136,600.0
1398,323,50.0,23.488679,65.078766,616.0
1399,323,52.0,23.55303,68.756134,600.0
1400,323,54.0,23.671006,70.091278,617.0
1401,323,51.0,23.628104999999998,70.350677,602.0
1402,323,49.0,23.456504000000002,65.391571,600.0
1403,323,51.0,23.456504000000002,65.28475999999999,600.0
1404,323,51.0,23.692456,67.916901,633.0
1405,323,47.0,23.713906,67.352325,630.0
1406,323,48.0,23.445779,65.551788,623.0
1407,323,44.0,23.703181,67.06240799999999,649.0
1408,323,49.0,23.445779,65.5289,600.0
1409,323,50.0,23.520854,68.21444699999999,600.0
1410,323,58.0,23.671006,70.77029399999999,600.0
1411,323,52.0,23.563755,69.19100999999999,608.0
1412,323,51.0,23.681731,68.55014,626.0
1413,323,51.0,23.488679,67.214996,600.0
1414,323,52.0,23.435054,65.475494,600.0
1415,323,52.0,23.445779,65.475494,600.0
1416,323,50.0,23.477954,65.17031899999999,615.0
1417,323,48.0,23.488679,65.162689,600.0
1418,323,53.0,23.445779,65.513641,600.0
1419,323,50.0,23.59593,69.702179,613.0
1420,323,48.0,23.435054,65.506012,616.0
1421,323,57.0,23.660281,70.495636,600.0
1422,323,52.0,23.681731,69.160492,618.0
1423,323,51.0,23.477954,66.34524499999999,600.0
1424,323,49.0,23.467229,65.185577,605.0
1425,323,47.0,23.477954,65.116913,631.0
1426,323,55.0,23.456504000000002,65.246613,606.0
1427,324,62.0,22.512695,67.733795,621.0
1428,324,57.0,22.587771,67.832977,624.0
1429,324,59.0,22.534146,67.97030600000001,600.0
1430,324,61.0,22.684297,67.98556500000001,620.0
1431,324,61.0,22.52342,67.726166,612.0
1432,324,60.0,22.52342,67.77194200000001,618.0
1433,324,52.0,22.673572,67.611725,643.0
1434,324,58.0,22.544871,67.82534799999999,621.0
1435,324,57.0,22.695022,67.58120699999999,636.0
1436,324,57.0,22.544871,67.98556500000001,612.0
1437,324,57.0,22.684297,67.070038,611.0
1438,324,55.0,22.673572,67.58120699999999,635.0
1439,324,54.0,22.609220999999998,67.749054,632.0
1440,324,58.0,22.695022,67.67276,626.0
1441,324,55.0,22.684297,67.03952,600.0
1442,324,54.0,22.652122,67.649872,631.0
1443,324,62.0,22.544871,67.749054,612.0
1444,324,61.0,22.534146,67.810089,622.0
1445,324,56.0,22.705747,67.16922,621.0
1446,324,59.0,22.544871,67.939789,611.0
1447,324,54.0,22.630671,67.733795,646.0
1448,324,61.0,22.566321,67.886383,618.0
1449,324,63.0,22.544871,67.962677,603.0
1450,324,62.0,22.534146,67.749054,617.0
1451,324,57.0,22.544871,67.955048,618.0
1452,324,60.0,22.555595999999998,67.90164200000001,613.0
1453,324,56.0,22.695022,67.38284300000001,633.0
1454,324,57.0,22.555595999999998,67.84060699999999,619.0
1455,324,65.0,22.512695,67.71090699999999,618.0
1456,324,61.0,22.512695,67.71090699999999,622.0
1457,324,62.0,22.555595999999998,67.878754,613.0
1458,325,53.0,22.598496,52.92514,610.0
1459,325,52.0,22.609220999999998,53.024322999999995,610.0
1460,325,50.0,22.609220999999998,53.154022,600.0
1461,325,45.0,22.630671,53.375275,626.0
1462,325,50.0,22.598496,52.963287,603.0
1463,325,52.0,22.587771,53.06246899999999,600.0
1464,325,49.0,22.598496,52.97091700000001,610.0
1465,325,50.0,22.641396,54.496795999999996,629.0
1466,325,48.0,22.630671,53.665192000000005,625.0
1467,325,52.0,22.598496,52.978545999999994,603.0
1468,325,52.0,22.609220999999998,53.146393,600.0
1469,325,47.0,22.619946,53.43631,619.0
1470,325,48.0,22.619946,53.474456999999994,629.0
1471,325,51.0,22.609220999999998,53.024322999999995,601.0
1472,325,52.0,22.630671,54.405243000000006,634.0
1473,325,46.0,22.609220999999998,53.382904,621.0
1474,325,49.0,22.630671,54.214507999999995,621.0
1475,325,46.0,22.619946,53.504974,629.0
1476,325,50.0,22.609220999999998,53.031952000000004,609.0
1477,325,52.0,22.598496,53.08535799999999,601.0
1478,325,50.0,22.641396,53.955109,640.0
1479,325,50.0,22.630671,53.82540899999999,637.0
1480,325,46.0,22.619946,53.413422,629.0
1481,325,51.0,22.587771,53.001433999999996,610.0
1482,325,51.0,22.609220999999998,53.039581000000005,609.0
1483,325,51.0,22.587771,53.06246899999999,609.0
1484,325,48.0,22.598496,53.001433999999996,607.0
1485,325,47.0,22.630671,53.535492000000005,638.0
1486,325,48.0,22.609220999999998,53.268463,613.0
1487,325,49.0,22.609220999999998,53.031952000000004,603.0
1488,325,52.0,22.598496,53.092987,600.0
1489,326,44.0,23.671006,51.017792,608.0
1490,326,41.0,23.681731,52.314789000000005,624.0
1491,326,42.0,23.660281,51.857025,622.0
1492,326,44.0,23.692456,52.177459999999996,623.0
1493,326,44.0,23.660281,51.155121,601.0
1494,326,44.0,23.671006,51.063568,600.0
1495,326,43.0,23.671006,51.765471999999995,614.0
1496,326,42.0,23.660281,51.094086,600.0
1497,326,46.0,23.681731,51.010162,603.0
1498,326,40.0,23.660281,51.841766,622.0
1499,326,42.0,23.660281,51.841766,614.0
1500,326,44.0,23.649556,51.353485,609.0
1501,326,42.0,23.660281,51.643402,609.0
1502,326,46.0,23.671006,51.010162,600.0
1503,326,42.0,23.692456,52.467377,633.0
1504,326,43.0,23.681731,51.010162,600.0
1505,326,44.0,23.681731,51.025421,601.0
1506,326,43.0,23.660281,51.071197999999995,603.0
1507,326,45.0,23.671006,51.071197999999995,602.0
1508,326,42.0,23.671006,52.04776,628.0
1509,326,42.0,23.660281,51.078827000000004,607.0
1510,326,44.0,23.681731,51.033051,605.0
1511,326,44.0,23.671006,51.071197999999995,601.0
1512,326,44.0,23.660281,51.467926,604.0
1513,326,44.0,23.649556,51.055939,610.0
1514,326,44.0,23.649556,51.567108000000005,610.0
1515,326,43.0,23.671006,51.92569,622.0
1516,326,44.0,23.649556,51.261932,601.0
1517,326,45.0,23.671006,51.010162,600.0
1518,326,42.0,23.660281,51.04068,604.0
1519,326,44.0,23.671006,51.048309,609.0
1520,327,45.0,23.928407999999997,49.91153,603.0
1521,327,46.0,23.917683,50.178558,608.0
1522,327,46.0,23.917683,50.231964000000005,610.0
1523,327,48.0,23.939132999999998,49.766571,602.0
1524,327,46.0,23.917683,50.66684,613.0
1525,327,45.0,23.917683,50.308258,615.0
1526,327,46.0,23.928407999999997,49.797089,609.0
1527,327,45.0,23.949858,49.728424,606.0
1528,327,42.0,23.917683,50.514252,614.0
1529,327,44.0,23.928407999999997,50.102264,606.0
1530,327,44.0,23.939132999999998,49.987823,609.0
1531,327,46.0,23.949858,49.728424,600.0
1532,327,47.0,23.939132999999998,49.736053000000005,607.0
1533,327,46.0,23.917683,50.987274,620.0
1534,327,46.0,23.906958,51.16275,624.0
1535,327,48.0,23.928407999999997,49.758942,608.0
1536,327,45.0,23.939132999999998,49.758942,600.0
1537,327,46.0,23.928407999999997,49.743683000000004,610.0
1538,327,46.0,23.928407999999997,49.751312,602.0
1539,327,46.0,23.939132999999998,49.720795,601.0
1540,327,44.0,23.917683,50.041229,605.0
1541,327,46.0,23.939132999999998,49.728424,600.0
1542,327,45.0,23.928407999999997,49.751312,605.0
1543,327,47.0,23.928407999999997,49.736053000000005,600.0
1544,327,43.0,23.906958,50.437958,615.0
1545,327,45.0,23.939132999999998,49.728424,601.0
1546,327,46.0,23.917683,49.789459,602.0
1547,327,43.0,23.917683,50.384552,618.0
1548,327,45.0,23.928407999999997,49.842865,605.0
1549,327,47.0,23.939132999999998,49.743683000000004,603.0
1550,327,47.0,23.917683,50.819427000000005,616.0
1551,328,52.0,22.673572,53.81015,729.0
1552,328,55.0,22.673572,54.695159999999994,749.0
1553,328,53.0,22.673572,53.886444,726.0
1554,328,56.0,22.662847,54.878265,743.0
1555,328,56.0,22.684297,53.802521,724.0
1556,328,53.0,22.662847,53.817780000000006,720.0
1557,328,55.0,22.673572,54.145844,740.0
1558,328,55.0,22.652122,54.550201,772.0
1559,328,54.0,22.662847,53.92459100000001,735.0
1560,328,52.0,22.662847,53.848296999999995,761.0
1561,328,55.0,22.662847,55.084258999999996,746.0
1562,328,57.0,22.673572,53.817780000000006,754.0
1563,328,53.0,22.673572,53.802521,761.0
1564,328,57.0,22.662847,54.237396,718.0
1565,328,55.0,22.662847,53.871185,748.0
1566,328,55.0,22.684297,53.833038,714.0
1567,328,56.0,22.662847,54.420502,733.0
1568,328,56.0,22.652122,54.382355000000004,759.0
1569,328,54.0,22.662847,54.31369,709.0
1570,328,53.0,22.662847,54.000885,711.0
1571,328,51.0,22.684297,53.794891,745.0
1572,328,54.0,22.673572,54.084807999999995,719.0
1573,328,53.0,22.673572,53.81015,725.0
1574,328,55.0,22.673572,55.259735,781.0
1575,328,58.0,22.673572,53.787262,734.0
1576,328,59.0,22.662847,54.451018999999995,730.0
1577,328,56.0,22.673572,53.833038,728.0
1578,328,56.0,22.673572,53.779633,758.0
1579,328,54.0,22.673572,53.833038,726.0
1580,328,55.0,22.673572,53.81015,760.0
1581,328,53.0,22.662847,55.465729,751.0
1582,329,51.0,23.059675,53.108245999999994,802.0
1583,329,50.0,23.081125,53.001433999999996,795.0
1584,329,49.0,23.059675,53.215056999999995,804.0
1585,329,50.0,23.091851000000002,52.92514,809.0
1586,329,46.0,23.081125,54.145844,848.0
1587,329,48.0,23.091851000000002,52.909881999999996,811.0
1588,329,46.0,23.091851000000002,53.955109,843.0
1589,329,48.0,23.0704,53.245575,812.0
1590,329,47.0,23.091851000000002,53.779633,837.0
1591,329,48.0,23.081125,52.917511,811.0
1592,329,49.0,23.059675,53.405792000000005,800.0
1593,329,50.0,23.081125,52.909881999999996,811.0
1594,329,48.0,23.081125,53.06246899999999,804.0
1595,329,48.0,23.081125,53.482085999999995,836.0
1596,329,47.0,23.081125,52.917511,820.0
1597,329,49.0,23.091851000000002,52.886993000000004,821.0
1598,329,48.0,23.081125,53.588898,825.0
1599,329,48.0,23.081125,52.95565799999999,806.0
1600,329,48.0,23.081125,52.92514,819.0
1601,329,47.0,23.091851000000002,54.29843100000001,846.0
1602,329,48.0,23.081125,52.92514,832.0
1603,329,50.0,23.04895,53.329498,802.0
1604,329,50.0,23.0704,52.902252000000004,809.0
1605,329,49.0,23.0704,52.92514,808.0
1606,329,49.0,23.0704,52.909881999999996,816.0
1607,329,47.0,23.0704,52.917511,812.0
1608,329,49.0,23.081125,52.864105,816.0
1609,329,51.0,23.081125,52.93277,807.0
1610,329,48.0,23.091851000000002,52.902252000000004,808.0
1611,329,46.0,23.0704,53.459198,828.0
1612,329,50.0,23.0704,53.421051,816.0
1613,3A,41.08,27.47,68.62,617.14
1614,3A,41.08,27.4,69.42,617.14
1615,3A,41.08,27.29,69.46,617.14
1616,3A,41.08,27.23,69.14,617.14
1617,3A,41.08,27.47,69.66,617.14
1618,3A,41.08,27.2,68.69,617.14
1619,3A,41.08,27.26,69.53,617.14
1620,3A,41.08,27.25,69.46,617.14
1621,3A,41.08,27.57,68.18,617.14
1622,3A,41.08,27.52,67.95,617.14
1623,3A,41.08,27.42,69.49,617.14
1624,3A,41.08,27.26,69.38,617.14
1625,3A,41.08,27.47,69.48,617.14
1626,3A,41.08,27.21,68.69,617.14
1627,3A,41.08,27.2,69.3,617.14
1628,3A,41.08,27.32,69.39,617.14
1629,3A,41.08,27.34,68.3,617.14
1630,3A,41.08,27.5,69.56,617.14
1631,3A,41.08,27.51,69.87,617.14
1632,3A,41.08,27.35,68.86,617.14
1633,3A,41.08,27.58,68.35,617.14
1634,3A,41.08,27.36,69.32,617.14
1635,3A,41.08,27.39,68.86,617.14
1636,3A,41.08,27.35,69.31,617.14
1637,3A,41.08,27.15,69.88,617.14
1638,3A,41.08,27.27,69.7,617.14
1639,3A,41.08,27.46,68.35,617.14
1640,3A,41.08,27.58,68.18,617.14
1641,3A,41.08,27.6,67.94,617.14
1642,3A,41.08,27.21,68.23,617.14
1643,3A,41.08,27.45,68.91,617.14
1644,3B,45.88,27.42,68.59,618.67
1645,3B,45.88,27.44,68.66,618.67
1646,3B,45.88,27.6,68.89,618.67
1647,3B,45.88,27.5,68.51,618.67
1648,3B,45.88,27.51,68.35,618.67
1649,3B,45.88,27.51,68.66,618.67
1650,3B,45.88,27.59,68.32,618.67
1651,3B,45.88,27.61,68.88,618.67
1652,3B,45.88,27.59,68.34,618.67
1653,3B,45.88,27.61,68.56,618.67
1654,3B,45.88,27.55,68.56,618.67
1655,3B,45.88,27.42,68.42,618.67
1656,3B,45.88,27.61,68.59,618.67
1657,3B,45.88,27.5,68.78,618.67
1658,3B,45.88,27.62,68.4,618.67
1659,3B,45.88,27.49,68.77,618.67
1660,3B,45.88,27.55,68.28,618.67
1661,3B,45.88,27.5,68.61,618.67
1662,3B,45.88,27.55,68.83,618.67
1663,3B,45.88,27.59,68.21,618.67
1664,3B,45.88,27.5,68.45,618.67
1665,3B,45.88,27.5,68.83,618.67
1666,3B,45.88,27.48,68.32,618.67
1667,3B,45.88,27.51,68.72,618.67
1668,3B,45.88,27.52,68.3,618.67
1669,3B,45.88,27.55,68.45,618.67
1670,3B,45.88,27.41,68.93,618.67
1671,3B,45.88,27.55,68.56,618.67
1672,3B,45.88,27.56,68.35,618.67
1673,3B,45.88,27.52,68.8,618.67
1674,3B,45.88,27.6,68.92,618.67
1675,3C,56.2,27.91,64.45,616.69
1676,3C,56.2,28.45,65.92,616.69
1677,3C,56.2,27.81,64.84,616.69
1678,3C,56.2,28.25,66.33,616.69
1679,3C,56.2,27.76,64.91,616.69
1680,3C,56.2,28.25,65.7,616.69
1681,3C,56.2,27.66,65.93,616.69
1682,3C,56.2,27.57,64.19,616.69
1683,3C,56.2,28.45,64.57,616.69
1684,3C,56.2,27.59,66.26,616.69
1685,3C,56.2,28.29,65.68,616.69
